d16-all,d50-all,d84-all,avgDepth [m],avgTemp [C],avgSpC [uS/cm]
47.74722831,79.74435217,140.1574101,4.055391679,27.82146107,443.9219974
72.43095116,147.2875362,296.1017179,7.675069818,27.81063878,443.8129245
54.84766155,100.0146302,179.9954095,10.41864499,27.80988512,443.8463092
56.88122141,103.6175917,243.0021932,13.09906437,27.81728468,443.9224834
47.66118895,84.34441818,138.24892,15.25888529,27.81565122,443.93462
44.09861059,72.73330391,149.7799207,17.15147266,27.80155019,443.8391409
46.42042444,77.29377794,131.9134949,18.74778502,27.80103713,443.7904247
43.92575166,73.13278301,120.8618242,20.39801294,27.80065937,443.8115589
52.80426904,92.48079,165.1242992,21.94375949,27.80329987,443.8253412
54.28209175,92.68996194,150.1433315,22.32099512,27.80293247,443.8542107
49.29797334,87.29649028,143.5283289,21.28062975,27.80275536,443.8490182
42.63430152,71.09822138,122.3004412,20.62902699,27.80222195,443.8607175
52.6961567,88.7764221,144.8580369,20.65140513,27.80401693,443.8146819
47.11222349,83.0099694,203.7505041,20.52650035,27.80305644,443.7415482
48.98621227,79.67672769,138.3538768,20.3069806,27.80297249,443.8341441
48.21272764,81.27246654,186.834262,20.33082867,27.80857901,443.7985036
44.16003076,74.59932437,232.8739241,20.55295856,27.80299132,443.758499
49.15323385,81.09280601,137.7308743,20.23060536,27.80237158,443.7421306
52.77248054,91.14943028,168.6240139,18.8291348,27.80434986,443.7695128
62.83042855,118.0848569,203.7690324,18.18403692,27.80733664,443.793287
60.95341005,103.7100963,163.1507245,18.23476935,27.80613456,443.7472883
63.25083298,109.8352046,207.8072421,17.94395945,27.80992618,443.7570426
59.46553462,97.95882529,162.7065262,16.40979964,27.8038561,443.7793833
57.02735671,100.2458941,183.5340046,14.34873744,27.80453179,443.7000051
72.13568759,131.4648361,214.0708809,14.459978,27.80564673,443.7670699
79.50414785,167.2440891,274.0577114,14.47755308,27.81055199,443.7603685
72.35509749,126.6638035,225.3091886,14.46786816,27.80915478,443.7589744
72.1115985,125.837139,230.0581226,14.47108847,27.80899476,443.8244892
59.9082091,101.9631382,156.6125614,13.9986746,27.80839502,443.7642735
58.35917625,100.0135184,170.2665301,12.44455821,27.80588018,443.7201516
60.22761031,105.067531,169.4715019,10.76408824,27.80634546,443.733797
63.87277096,117.4439083,178.6509401,10.4320548,27.80819903,443.7272021
63.50810665,108.5167428,158.9605712,10.40412913,27.80859613,443.7625843
67.83622996,118.4619429,194.7168351,10.34679002,27.81165328,443.7498798
62.43201894,121.2199957,250.1801921,9.976794114,27.8071496,443.7274396
58.70107462,103.4186734,163.0514651,8.446472102,27.80649915,443.7092722
59.71577354,108.7599882,168.1250244,6.713474059,27.81792268,443.7250396
74.69911341,146.325227,351.1192021,6.300774115,27.83807166,443.8603133
73.92930262,136.4930979,288.6821028,6.349281256,27.83743896,443.8648074
79.99458426,180.8223685,278.4992291,6.347193228,27.83529359,443.9619665
61.9262977,114.5224788,190.4031993,6.271554454,27.83287017,443.8608709
52.18952207,88.85683596,170.3114139,5.444933396,27.82015401,443.8471314
50.31407629,86.70599626,134.1473745,3.575782564,27.83110204,443.9542132
48.99848066,80.63755897,172.7930142,2.471978902,27.84005652,443.9201093
63.34678246,116.9861633,215.8342917,2.544858469,27.84102634,443.942557
67.06870841,126.6730359,201.0455919,2.523347892,27.83825076,443.981788
46.65669627,79.43280844,134.8620231,2.01333395,27.81293039,443.894101
46.05217376,73.94831273,116.4674634,0.882167458,27.8300028,444.0263256
49.49110511,79.10200188,118.1273897,0.566832097,27.81984283,443.9682035
48.8245948,84.25711181,129.3019882,0.594518456,27.84796077,444.1730205
54.28600256,91.1848304,139.9304809,0.611151849,27.8467339,444.1733702
44.71349309,71.91327174,113.9367926,0.596908161,27.84221515,444.1600734
