d16-all,d50-all,d84-all,avgDepth [m],avgTemp [C],avgSpC [uS/cm]
52.90072986,92.51840742,182.5326012,1.838416369,27.69457699,397.1605063
58.34175189,102.8223702,175.2876894,4.043910472,27.66475985,396.9989315
59.94477895,104.4019811,163.4815952,6.370178037,27.66463541,397.0516087
61.82476604,108.1265608,166.5560788,8.9542763,27.66393951,397.0422217
71.94475123,146.7409314,265.6394866,11.59634989,27.6632405,397.0171176
55.33279984,93.75944312,154.5071663,14.17536457,27.65857709,396.9333865
64.01605328,125.9354466,337.3445597,15.7180635,27.6590779,396.886249
59.19172548,101.8567737,211.6140392,15.73086696,27.65829969,396.8913648
72.84039951,130.6179928,238.7287607,15.78275987,27.65914991,396.9336366
68.21451686,132.220051,258.7812074,15.72785357,27.65931448,396.9046699
66.90277339,117.739854,221.8451307,15.22567952,27.65798072,396.9154506
65.54429985,125.0968269,252.3867838,14.64767022,27.6607735,396.9390025
55.90408753,93.72064258,167.6618368,14.65234724,27.65934628,396.8989195
68.17526021,122.5532631,226.1280218,14.62005207,27.65854624,396.8899984
72.56555593,133.6121306,220.5123515,14.61507707,27.65985787,396.9148586
67.57896766,123.9925023,235.5784398,14.70951511,27.66000336,396.9469704
75.94892235,136.8777415,356.2012679,14.40985123,27.66034036,396.9346482
82.62059351,165.248169,290.6136901,13.08061304,27.66145287,396.9731548
78.17450146,155.3387922,264.9630318,12.21299764,27.66242593,397.0019509
78.39765307,140.1407302,262.1041076,12.08941869,27.66068694,396.962076
70.52028331,124.3496056,204.4203768,11.47577311,27.66211928,396.9948789
74.96636438,133.9223185,258.4477012,9.915707543,27.66559519,397.0710269
75.68544357,130.5634022,225.1840624,9.188579024,27.66471721,397.0555054
75.04788869,141.1399698,507.8478094,8.322740103,27.66326371,397.031641
73.48542746,147.0071471,237.1984998,6.799970446,27.66490031,397.064052
92.23240796,183.695162,345.2608785,6.297615569,27.6650764,397.0769536
94.00993129,198.0539576,330.5161509,6.307482097,27.66436305,397.0567007
63.98463609,113.3789655,186.4197309,6.039992206,27.66244363,397.008661
57.5357052,95.18965125,155.2941367,4.436573646,27.66377127,397.0125283
63.90536256,109.8696896,191.3928113,3.296787781,27.67212768,397.1335494
63.2377264,109.7441881,184.136213,3.329369242,27.66782323,397.0865593
45.1394139,89.79802024,139.5143488,1.849295518,27.69514721,397.3431611
46.1090013,87.00735261,154.2313069,0.389461021,27.79377717,398.0675434
43.08699334,81.76016916,153.6800314,0.38780531,27.76730623,397.8335619
