d16-all,d50-all,d84-all,avgDepth [m],avgTemp [C],avgSpC [uS/cm]
55.23619203,89.03055657,139.0895437,2.218786146,27.66655546,395.698094
64.18493863,113.5096159,204.6123395,4.846948347,27.65728856,395.9113903
75.31494851,131.9985931,208.0145584,6.945557735,27.6636927,396.0871874
75.9198541,137.7054177,205.9053374,9.62845256,27.66373644,396.2195656
62.12702719,106.0303278,191.4399726,12.10142966,27.6635209,396.2400151
53.29398798,94.56489257,201.7348408,14.05179352,27.64615523,396.1888506
56.13968665,93.87104684,193.3480182,14.80947778,27.64637275,396.215824
55.81595703,90.52109912,152.4690747,15.68957573,27.64571583,396.2178813
54.73347586,95.84727738,186.6173256,15.83423892,27.64741551,396.2350334
60.47449147,100.2650813,207.966282,14.81736447,27.64677956,396.2009399
52.75976784,89.55860135,202.0319405,13.53060144,27.64569958,396.2305333
47.57380921,81.5050455,354.2036748,13.01997097,27.64387483,396.2058107
46.71288336,73.69447757,106.8118668,13.78516211,27.6417635,396.2299444
53.82861401,85.81758485,152.1615762,14.42280024,27.64327354,396.2914405
45.99793494,73.69151927,112.29419,14.78296694,27.64584432,396.3295267
48.66773635,85.09885232,164.1908346,14.80161054,27.64370616,396.3045967
42.45445598,72.07966973,121.6142723,13.46187774,27.63983435,396.2744413
43.9635588,68.85831894,107.2145577,12.70233983,27.64110891,396.2911186
54.43544055,92.04137154,185.9474366,12.52755913,27.64266376,396.3503797
43.35274121,71.80669965,113.6778017,12.64670776,27.64060304,396.318913
50.6522709,83.82911383,151.8048777,12.80487799,27.64009024,396.3008402
53.58813638,89.28556791,164.7178047,12.77989383,27.64314714,396.3361624
59.75212569,96.42017772,154.611278,1.010636332,27.64471145,395.9983051
64.72237881,112.5741085,241.8895453,11.54020898,27.64646474,396.3780506
73.06163012,140.9318692,269.0492666,11.55353483,27.65261356,396.4427354
67.71352488,116.1937712,202.7658262,10.52380759,27.64598859,396.3895058
65.84483448,115.2097911,229.3203223,9.474394134,27.65619259,396.4044038
59.99215191,96.91828762,174.8037353,9.376262405,27.64337798,396.3681463
57.65045229,102.1491204,176.5590981,8.238571404,27.645505,396.353051
61.26537383,111.6402054,228.4731172,7.35170813,27.64835968,396.3877738
57.03518408,98.5826599,157.9651343,7.405191218,27.64925681,396.3986581
50.99477132,81.72615453,128.8755736,6.686927943,27.64424962,396.3754339
71.58335673,134.3232657,313.9382602,5.564715063,27.65691438,396.4804357
67.39468156,123.9940097,195.2218238,5.147990839,27.65443945,396.4374477
69.97866067,136.3524998,308.0341677,4.051910602,27.65801608,396.4312707
58.53233812,98.97659041,167.8957882,2.487628171,27.65631787,396.4090069
63.78047754,109.2449193,203.2000398,0.81997246,27.69414569,396.5701068
43.69668773,74.35721911,110.3854671,0.401468264,27.69036387,396.503306
