d16-all,d50-all,d84-all,d16-mud,d50-mud,d84-mud,avgDepth [m],avgTemp [C],avgSpC [uS/cm]
25.02979743,40.80263997,62.94528771,25.02979743,40.80263997,62.94528771,0.89833242,6.216414177,215.1602231
27.35869637,44.72261369,68.63004531,27.35869637,44.72261369,68.63004531,1.854908856,6.244653932,215.5956852
29.52786557,49.95753148,79.61656744,29.52786557,49.95753148,79.61656744,2.821659135,6.20250716,215.256893
27.02741187,44.24156599,65.62241454,27.02741187,44.24156599,65.62241454,3.139599325,6.188817951,215.2288105
28.76611042,46.95971603,70.27881498,28.76611042,46.95971603,70.27881498,3.334785531,6.217234679,215.2864959
28.14331195,46.10898552,73.41494192,28.14331195,46.10898552,73.41494192,3.434425565,6.202506344,215.263844
29.45770294,47.15736697,70.62166245,29.45770294,47.15736697,70.62166245,3.42797335,6.192670322,215.0842161
33.28773494,55.34331321,88.68859324,33.28773494,55.34331321,88.68859324,3.480848866,6.220515312,215.4104279
29.3642409,48.46290937,75.9060245,29.3642409,48.46290937,75.9060245,3.797395703,6.223285983,215.3789205
29.76624927,50.53001816,90.07747603,29.76624927,50.53001816,90.07747603,4.485398053,6.212974119,215.4146585
30.31311726,51.14289553,84.60985396,30.31311726,51.14289553,84.60985396,5.342264646,6.189433689,215.1892071
32.15129868,53.24957557,82.82794365,32.15129868,53.24957557,82.82794365,6.087048261,6.186008971,215.1662662
30.08563703,52.10671999,82.93467361,30.08563703,52.10671999,82.93467361,6.391629922,6.190292986,215.2427387
34.31763954,58.9847436,155.2712502,34.31763954,58.9847436,155.2712502,6.421190331,6.189464939,215.3343324
32.8153479,54.58493838,83.0071322,32.8153479,54.58493838,83.0071322,6.43113594,6.210684422,215.5601692
32.67447863,55.20565666,95.15185609,32.67447863,55.20565666,95.15185609,6.417226755,6.215218534,215.6623464
32.61173267,55.00192629,85.30120035,32.61173267,55.00192629,85.30120035,6.363687886,6.197540794,215.5643933
30.58460241,52.73349698,88.64623413,30.58460241,52.73349698,88.64623413,6.314704416,6.195752931,215.5097591
32.48025263,55.38537251,88.49585223,32.48025263,55.38537251,88.49585223,6.660025991,6.181035188,215.3589927
33.21407709,56.29045363,101.1537102,33.21407709,56.29045363,101.1537102,7.614266163,6.172139217,215.360978
32.40730884,54.75519769,85.69690224,32.40730884,54.75519769,85.69690224,8.542420941,6.179003846,215.4534753
34.1390277,57.77186858,93.18901981,34.1390277,57.77186858,93.18901981,9.162389662,6.180351744,215.497046
35.27278327,58.63517734,88.28052997,35.27278327,58.63517734,88.28052997,9.311716725,6.177060868,215.4689222
34.39276901,60.43108366,100.2327038,34.39276901,60.43108366,100.2327038,9.332177794,6.189975354,215.6776567
34.22498165,57.20815824,90.83421028,34.22498165,57.20815824,90.83421028,9.298735816,6.19221947,215.6318691
31.92316853,52.24230437,90.22550902,31.92316853,52.24230437,90.22550902,9.210392852,6.19069473,215.6299395
33.54656792,56.57640864,101.3328782,33.54656792,56.57640864,101.3328782,9.179723727,6.190793252,215.6114057
33.24982361,59.13778177,98.17453037,33.24982361,59.13778177,98.17453037,9.27126035,6.18704707,215.6094718
34.25142607,62.31041623,118.0191212,34.25142607,62.31041623,118.0191212,9.367421034,6.179265186,215.5798257
33.02035706,56.38450193,93.38100844,33.02035706,56.38450193,93.38100844,9.414511012,6.17031831,215.5838638
34.73240025,57.68910925,94.37066669,34.73240025,57.68910925,94.37066669,9.460858749,6.173266217,215.6287072
36.62778677,64.48849857,109.1972513,36.62778677,64.48849857,109.1972513,9.480438576,6.181575724,215.6658434
36.8920801,64.55190949,109.1601777,36.8920801,64.55190949,109.1601777,9.48496842,6.171747096,215.5797452
35.75423783,64.58985529,111.2317168,35.75423783,64.58985529,111.2317168,9.891485919,6.17074471,215.6146381
