depth,c_mg_l
23.0,0.0
22.5,97.44443576937626
21.5,85.93779468564391
20.5,89.9170174969544
19.5,104.50884114209717
18.5,130.1599853872008
17.5,106.65761181059247
16.5,110.35252656947493
15.5,116.47985105597338
14.5,107.25927812456416
13.5,119.45085759840211
12.5,121.0599829339444
11.5,114.25820392085127
10.5,127.6853713312302
9.5,128.51410768431134
8.5,167.54530852316475
7.5,125.19337675170335
6.5,137.81655709752135
5.5,135.8096096976975
4.5,135.46576804706822
3.5,134.59822312809808
2.5,140.41789468826067
1.5,140.51683266569208
0.5,136.36470036238012
